c_category,c_func,c_name,c_data_type,c_value_type,c_choice,c_database,c_unit,remark,c_module,c_range,c_address
AccRemoveLampblack,6001398,累计除油量,Num,,,,kg,,,,
AccDeD,6001399,累计除湿量,Acc,,,,kg,,,,
AccCollectHeat,6001400,累计集热量,Acc,,,,kWh,,,,
AccFlightFime,6001401,累计飞行时间,Acc,,,,min,,,,
AccFlightDistance,6001402,累计飞行距离,Acc,,,,m,,,,
AccDrinkSupplyVolume,6001403,累计饮用水供水量,Num,,,,m3,,,,
LatitudeValue,6001404,纬度值,Inst,2,,,°,,,,
LongitudeValue,6001405,经度值,Inst,2,,,°,,,,
SupplyPumpRunNum,6001406,给水泵开启台数,Num,,,,台,,,,
InsulationStatus,6001407,绝缘状态,Bool,,"{""type"":""str"",""map"":{""0"":""正常绝缘"",""1"":""绝缘故障""}}",,,,,,
InsulationMonitorProtect,6001408,绝缘监测保护,Boolv,,"{""type"":""str"",""map"":{""0"":""正常"",""1"":""保护""}}",,,,,,
HoldTemp,6001409,维持温度,Inst,2,,,℃,,,,
GasConsumP,6001410,耗气量,Num,,,,m3/h,,,,
FuelConsumP,6001411,耗油量,Num,,,,L/h,,,,
SysHeatConsumP,6001412,耗热功率,Num,,,,kW,,,,
HeatPLR,6001413,耗热负载率,Inst,2,,,%,,,,
CoalConsumP,6001414,耗煤量,Num,,,,t/h,,,,
ElecConsumP,6001415,耗电功率,Inst,2,,,kW,,,,
ElecConsum,6001416,耗电量,Acc,,,,kW·h,,,,
LinkSignal,6001417,联动信号,Bools,,,,,,,,
BackPressure,6001418,背压,Inst,2,,,Kpa,,,,
DesaltRate,6001419,脱盐率,Inst,2,,,%,,,,
OzoneGenerateFlow,6001420,臭氧产量,Inst,2,,,mol/h,,,,
O3,6001421,臭氧值,Inst,2,,,mg/L,,,,
O3Concentration,6001422,臭氧浓度,Inst,2,,,ppm,,,,
ThrottleOpening,6001423,节流阀开度,Inst,2,,,%,,,,
PortCPUUtilRatioIn1m,6001424,节点1分钟的CPU使用率,Inst,2,,,%,,,,
PortCPUUtilRatioIn5m,6001425,节点5分钟的CPU使用率,Inst,2,,,%,,,,
PortCPUUtilRatioIn5s,6001426,节点5秒钟的CPU使用率,Inst,2,,,%,,,,
ChemicalRemain,6001427,药剂余量,Num,,,,g,,,,
TotalBacterialCount,6001428,菌落总数,Inst,2,,,MPN/100ml,,,,
EvapPress,6001429,蒸发压力,Inst,2,,,MPa,,,,
EvapWaterInCoolPress,6001430,蒸发器入口冷冻水压,Inst,2,,,MPa,,,,
EvapWaterInCoolTemp,6001431,蒸发器入口冷冻水温,Inst,2,,,℃,,,,
EvapWaterInPress,6001432,蒸发器入口水压,Inst,2,,,MPa,,,,
EvapWaterInTemp,6001433,蒸发器入口水温,Inst,2,,,℃,,,,
EvapWaterOutCoolPress,6001434,蒸发器出口冷冻水压,Inst,2,,,MPa,,,,
EvapWaterOutCoolTemp,6001435,蒸发器出口冷冻水温,Inst,2,,,℃,,,,
EvapWaterOutPress,6001436,蒸发器出口水压,Inst,2,,,MPa,,,,
EvapWaterOutTemp,6001437,蒸发器出口水温,Inst,2,,,℃,,,,
EvapSuperheat,6001438,蒸发器过热度,Inst,2,,,℃,,,,
EvapTemp,6001439,蒸发温度,Inst,2,,,℃,,,,
VaporPress,6001440,蒸汽压力,Inst,2,,,MPa,,,,
VaporFlow,6001441,蒸汽流量,Inst,2,,,t/h,,,,
VaporValveSwitch,6001442,蒸汽阀开关,Boolv,,"{""type"":""str"",""map"":{""0"":""关闭"",""1"":""开启""}}",,,,,,
VaporValveOpening,6001443,蒸汽阀开度,Inst,2,,,%,,,,
IceRatio,6001444,蓄冰比例,Inst,2,,,%,,,,
CoolStoreEff,6001445,蓄冷效率,Inst,2,,,%,,,,
ThermalStorageSwitchStatus,6001446,蓄冷转换状态,Enum,,"{""type"":""str"",""map"":{""1"":""蓄冷"",""2"":""放冷"",""3"":""未使用"",""99"":""其他""}}",,,,,,
CoolStore,6001447,蓄冷量,Num,,,,kWh,,,,
HeatStoreEff,6001448,蓄热效率,Inst,2,,,%,,,,
BatteryLeftE,6001449,蓄电池剩余电量,Inst,2,,,Ah,,,,
BatteryLastTime,6001450,蓄电池可持续时间,Inst,2,,,h,,,,
BatteryPower,6001451,蓄电池电量,Inst,2,,,Ah,,,,
FillingFlow,6001452,补水流量,Inst,2,,,m3/h,,,,
FillingStatus,6001453,补水状态,Boolv,,"{""type"":""str"",""map"":{""0"":""未补水"",""1"":""补水""}}",,,,,,
FillingFlowV,6001454,补水量,Num,,,,m3/h,,,,
FillingValveOpening,6001455,补水阀开度,Inst,2,,,%,,,,
CoolCoilEff,6001456,表冷器换热效率,Inst,2,,,%,,,,
CoolCoilAirPress,6001457,表冷段后压力,Inst,2,,,Pa,,,,
CoolCoilAirTemp,6001458,表冷段后温度,Inst,2,,,℃,,,,
CoolCoilAirRH,6001459,表冷段后相对湿度,Inst,2,,,%RH,,,,
SurfaceTemp,6001460,表面温度,Inst,2,,,℃,,,,
DeviceFaultAlarm,6001461,装置故障告警,Bool,,"{""type"":""str"",""map"":{""0"":""正常"",""1"":""报警""}}",,,,,,
AccApparentE,6001462,视在电能,Acc,,,,kVAh,,,,
VideoStoreTime,6001463,视频存档时间段,DTimer,,,,,,,,
VSAlarmStatus,6001464,视频监控系统报警状态,Enum,,"{""type"":""str"",""map"":{""1"":""正常"",""2"":""报警"",""3"":""试验"",""99"":""其他""}}",,,,,,
CharacterStatus,6001465,角色状态,Enum,,"{""type"":""str"",""map"":{""0"":""未启用"",""1"":""已启用""}}",,,,,,
CharacterType,6001466,角色类型,Enum,,"{""type"":""str"",""map"":{""0"":""智慧管理平台"",""1"":""管理员"",""2"":""成员"",""3"":""其他""}}",,,,,,
PlanStatus,6001467,计划状态,Enum,,"{""type"":""str"",""map"":{""0"":""暂停中"",""1"":""运行中"",""2"":""已废弃""}}",,,,,,
RecordStore,6001468,记录存量,Inst,2,,,条,,,,
EquipmentCombinationPredictData,6001469,设备设施组合预测数据,Num,,,,,,,,
SetValueStatus,6001470,设定值状态,Inst,2,,,,,,,
TestLocalDownIsolation,6001471,试验位下隔离,Boolv,,"{""type"":""str"",""map"":{""0"":""正常"",""1"":""动作""}}",,,,,,
MICStatus,6001472,话筒状态,Enumv,,"{""type"":""str"",""map"":{""1"":""待机"",""2"":""使用中"",""3"":""关闭""}}",,,,,,
AdjustBasinWaterVolume,6001473,调节池水量,Inst,2,,,m3,,,,
PassengerNegativeAccFlow,6001474,负向累计流量,Num,,,,人次,,,,
NegativeUtoEarth,6001475,负对地电压,Inst,2,,,V,,,,
NegativeSequenceU,6001476,负序电压,Inst,2,,,V,,,,
NegativeSequenceI,6001477,负序电流,Inst,2,,,A,,,,
NegSeqOverISec1Protect,6001478,负序过流I段保护,Boolv,,"{""type"":""str"",""map"":{""0"":""正常"",""1"":""保护""}}",,,,,,
